seuil,code,classe,famille,points,proches,pct
25,RES-834,RR,RES-*,11,0,0.0
25,RES-652,RR,RES-*,41,0,0.0
25,RES-488,RR,RES-*,46,0,0.0
25,RES-27,RR,RES-*,66,0,0.0
25,RES-129,RR,RES-*,54,0,0.0
25,RES-433,RR,RES-*,50,0,0.0
25,RES-771,RR,RES-*,53,0,0.0
25,RN24-OSM-30,RN,*-OSM-*,1,0,0.0
25,RES-284,RR,RES-*,17,0,0.0
25,RES-34,RR,RES-*,26,0,0.0
25,RES-520,RR,RES-*,71,0,0.0
25,RES-155,RR,RES-*,153,0,0.0
25,RES-125,RR,RES-*,10,0,0.0
25,RES-400,RR,RES-*,6,0,0.0
25,RES-524,RR,RES-*,58,0,0.0
25,RES-784,RR,RES-*,70,0,0.0
25,RES-183,RR,RES-*,75,0,0.0
25,RES-87,RR,RES-*,44,0,0.0
25,RES-657,RR,RES-*,18,0,0.0
25,RES-358,RR,RES-*,33,0,0.0
25,RES-404,RR,RES-*,34,0,0.0
25,RES-269,RR,RES-*,7,0,0.0
25,RES-907,RR,RES-*,69,0,0.0
25,RES-851,RR,RES-*,59,0,0.0
25,RES-188,RR,RES-*,11,0,0.0
25,RES-842,RR,RES-*,13,0,0.0
25,RES-510,RR,RES-*,97,0,0.0
25,RES-478,RR,RES-*,26,0,0.0
25,RES-828,RR,RES-*,38,0,0.0
25,RES-407,RR,RES-*,73,0,0.0
25,RES-410,RR,RES-*,55,0,0.0
25,RES-66,RR,RES-*,38,0,0.0
25,RES-357,RR,RES-*,44,0,0.0
25,RES-689,RR,RES-*,31,0,0.0
25,RES-209,RR,RES-*,29,0,0.0
25,RES-42,RR,RES-*,30,0,0.0
25,RES-481,RR,RES-*,79,0,0.0
25,RES-82,RR,RES-*,94,0,0.0
25,RES-496,RR,RES-*,48,0,0.0
25,RES-96,RR,RES-*,19,0,0.0
25,RES-1023,RR,RES-*,51,0,0.0
25,RES-560,RR,RES-*,54,0,0.0
25,RES-628,RR,RES-*,28,0,0.0
25,RES-895,RR,RES-*,35,0,0.0
25,RES-592,RR,RES-*,50,0,0.0
25,RES-487,RR,RES-*,29,0,0.0
25,RES-181,RR,RES-*,291,0,0.0
25,RES-961,RR,RES-*,40,0,0.0
25,RES-102,RR,RES-*,72,0,0.0
25,RES-725,RR,RES-*,32,0,0.0
25,RES-20,RR,RES-*,4,0,0.0
25,RES-277,RR,RES-*,30,0,0.0
25,RES-72,RR,RES-*,57,0,0.0
25,RES-93,RR,RES-*,83,0,0.0
25,RES-756,RR,RES-*,71,0,0.0
25,RES-463,RR,RES-*,69,0,0.0
25,RES-599,RR,RES-*,6,0,0.0
25,RES-726,RR,RES-*,1,0,0.0
25,RES-608,RR,RES-*,60,0,0.0
25,RES-813,RR,RES-*,29,0,0.0
25,RES-246,RR,RES-*,166,0,0.0
25,RES-337,RR,RES-*,116,0,0.0
25,RES-968,RR,RES-*,46,0,0.0
25,RES-986,RR,RES-*,61,0,0.0
25,RES-124,RR,RES-*,41,0,0.0
25,RES-807,RR,RES-*,75,0,0.0
25,RES-812,RR,RES-*,123,0,0.0
25,RES-891,RR,RES-*,53,0,0.0
25,RES-667,RR,RES-*,33,0,0.0
25,RES-218,RR,RES-*,16,0,0.0
25,RES-431,RR,RES-*,1,0,0.0
25,RES-504,RR,RES-*,27,0,0.0
25,RES-716,RR,RES-*,65,0,0.0
25,RES-2,RR,RES-*,61,0,0.0
25,RES-36,RR,RES-*,45,0,0.0
25,RES-917,RR,RES-*,77,0,0.0
25,GN N0039 1-1572,RN,GN N*,70,0,0.0
25,RES-145,RR,RES-*,75,0,0.0
25,RN4-OSM-0,RN,*-OSM-*,2,0,0.0
25,RES-501,RR,RES-*,38,0,0.0
25,RES-383,RR,RES-*,28,0,0.0
25,RES-205,RR,RES-*,10,0,0.0
25,RES-696,RR,RES-*,23,0,0.0
25,RES-420,RR,RES-*,6,0,0.0
25,RES-888,RR,RES-*,61,0,0.0
25,RES-349,RR,RES-*,81,0,0.0
25,RES-282,RR,RES-*,23,0,0.0
25,RES-453,RR,RES-*,44,0,0.0
25,RES-285,RR,RES-*,25,0,0.0
25,RES-409,RR,RES-*,67,0,0.0
25,RES-137,RR,RES-*,36,0,0.0
25,RES-467,RR,RES-*,27,0,0.0
25,RES-298,RR,RES-*,19,0,0.0
25,RES-483,RR,RES-*,77,0,0.0
25,RES-342,RR,RES-*,37,0,0.0
25,RES-1004,RR,RES-*,89,0,0.0
25,RES-830,RR,RES-*,31,0,0.0
25,RES-589,RR,RES-*,51,0,0.0
25,RES-334,RR,RES-*,77,0,0.0
25,RES-853,RR,RES-*,13,0,0.0
25,RES-761,RR,RES-*,99,0,0.0
25,RES-654,RR,RES-*,70,0,0.0
25,RES-854,RR,RES-*,57,0,0.0
25,RES-1010,RR,RES-*,84,0,0.0
25,RES-911,RR,RES-*,102,0,0.0
25,RES-234,RR,RES-*,48,0,0.0
25,RES-336,RR,RES-*,54,0,0.0
