code,classe,famille,points,proches
GN N0008 2-1485,RN,GN N*,78,0
GN N0008 2-1486,RN,GN N*,51,0
GN N0015 1-1541,RN,GN N*,63,0
GN N0024 1-1403,RN,GN N*,61,0
GN N0039 1-1569,RN,GN N*,75,0
GN N0039 1-1572,RN,GN N*,70,0
RES-100,RR,RES-*,34,0
RES-1000,RR,RES-*,22,0
RES-1001,RR,RES-*,71,0
RES-101,RR,RES-*,39,0
RES-1014,RR,RES-*,27,0
RES-1015,RR,RES-*,69,0
RES-1016,RR,RES-*,68,0
RES-1017,RR,RES-*,40,0
RES-1028,RR,RES-*,75,0
RES-106,RR,RES-*,25,0
RES-11,RR,RES-*,18,0
RES-118,RR,RES-*,81,0
RES-120,RR,RES-*,10,0
RES-123,RR,RES-*,76,0
RES-124,RR,RES-*,41,0
RES-125,RR,RES-*,10,0
RES-126,RR,RES-*,22,0
RES-129,RR,RES-*,54,0
RES-130,RR,RES-*,7,0
RES-131,RR,RES-*,73,0
RES-133,RR,RES-*,1,0
RES-159,RR,RES-*,172,0
RES-16,RR,RES-*,10,0
RES-161,RR,RES-*,9,0
RES-163,RR,RES-*,1,0
RES-168,RR,RES-*,30,0
RES-170,RR,RES-*,8,0
RES-178,RR,RES-*,1,0
RES-183,RR,RES-*,75,0
RES-184,RR,RES-*,83,0
RES-185,RR,RES-*,69,0
RES-190,RR,RES-*,10,0
RES-191,RR,RES-*,8,0
RES-193,RR,RES-*,9,0
RES-196,RR,RES-*,56,0
RES-201,RR,RES-*,49,0
RES-202,RR,RES-*,7,0
RES-206,RR,RES-*,47,0
RES-208,RR,RES-*,35,0
RES-209,RR,RES-*,29,0
RES-218,RR,RES-*,16,0
RES-220,RR,RES-*,40,0
RES-232,RR,RES-*,161,0
RES-233,RR,RES-*,52,0
RES-234,RR,RES-*,48,0
RES-24,RR,RES-*,19,0
RES-241,RR,RES-*,11,0
RES-242,RR,RES-*,10,0
RES-243,RR,RES-*,145,0
RES-246,RR,RES-*,166,0
RES-247,RR,RES-*,71,0
RES-25,RR,RES-*,32,0
RES-252,RR,RES-*,22,0
RES-254,RR,RES-*,148,0
RES-255,RR,RES-*,1,0
RES-260,RR,RES-*,153,0
RES-262,RR,RES-*,29,0
RES-270,RR,RES-*,23,0
RES-275,RR,RES-*,8,0
