categorie,nature,numero,nom,km,osm_id
PRINCIPALE,Route primaire,A7,"",66.837,w373881379
TERTIAIRE,Route tertiaire,"","",58.741,w246571540
TERTIAIRE,Route tertiaire,"","",46.344,w610051189
SECONDAIRE,Route secondaire,"","",43.279,w270262211
TERTIAIRE,Route tertiaire,"","",39.090,w238471898
TERTIAIRE,Route tertiaire,"","",37.314,w293099119
TERTIAIRE,Route tertiaire,"","",33.983,w289225911
TERTIAIRE,Route tertiaire,"","",32.932,w38919287
SECONDAIRE,Route secondaire,"","",30.789,w691203696
TERTIAIRE,Route tertiaire,"","",29.233,w337382029
TERTIAIRE,Route tertiaire,"","",27.181,w246573815
TERTIAIRE,Route tertiaire,"","",26.477,w219780186
TERTIAIRE,Route tertiaire,"","",26.046,w301880493
PRINCIPALE,Route primaire,"","",24.908,w688278974
TERTIAIRE,Route tertiaire,"","",23.637,w270643497
TERTIAIRE,Route tertiaire,"","",23.053,w270364268
TERTIAIRE,Route tertiaire,"","",22.972,w620101853
TERTIAIRE,Route tertiaire,"","",22.948,w628799578
TERTIAIRE,Route tertiaire,"","",22.551,w292790024
TERTIAIRE,Route tertiaire,"","",22.085,w271243400
TERTIAIRE,Route tertiaire,"","",21.771,w197557965
TERTIAIRE,Route tertiaire,"","",20.335,w296991152
TERTIAIRE,Route tertiaire,"","",19.759,w492791958
TERTIAIRE,Route tertiaire,"","",19.421,w236184002
TERTIAIRE,Route tertiaire,"","",19.382,w319734251
TERTIAIRE,Route tertiaire,"","",19.114,w301885578
TERTIAIRE,Route tertiaire,"","",19.056,w304938428
SECONDAIRE,Route secondaire,"","",18.729,w116442730
TERTIAIRE,Route tertiaire,"","",17.467,w496780757
SECONDAIRE,Route secondaire,"","",17.045,w271420406
TERTIAIRE,Route tertiaire,"","",16.763,w246573890
TERTIAIRE,Route tertiaire,"","",16.643,w304504662
TERTIAIRE,Route tertiaire,"","",16.635,w211866765
TERTIAIRE,Route tertiaire,"","",16.610,w435286543
TERTIAIRE,Route tertiaire,"","",16.125,w314237491
TERTIAIRE,Route tertiaire,"","",15.870,w197804187
TERTIAIRE,Route tertiaire,"","",15.742,w302751593
TERTIAIRE,Route tertiaire,"","",15.677,w660460946
TERTIAIRE,Route tertiaire,"","",15.482,w316101230
TERTIAIRE,Route tertiaire,"","",15.289,w241718697
SECONDAIRE,Route secondaire,"","",15.270,w319383248
TERTIAIRE,Route tertiaire,"","",15.031,w247175952
TERTIAIRE,Route tertiaire,"","",14.970,w372984496
SECONDAIRE,Route secondaire,"","",14.939,w697164957
TERTIAIRE,Route tertiaire,"","",14.818,w268712890
TERTIAIRE,Route tertiaire,"","",14.610,w220233137
TERTIAIRE,Route tertiaire,"","",14.555,w238401089
TERTIAIRE,Route tertiaire,"","",14.536,w241959264
TERTIAIRE,Route tertiaire,"","",14.279,w300380676
TERTIAIRE,Route tertiaire,"","",14.105,w326158075
TERTIAIRE,Route tertiaire,"","",13.999,w277824578
TERTIAIRE,Route tertiaire,"","",13.920,w496941659
SECONDAIRE,Route secondaire,"","",13.912,w440061759
TERTIAIRE,Route tertiaire,"","",13.345,w496723246
TERTIAIRE,Route tertiaire,"","",13.274,w328659987
PRINCIPALE,Route primaire,"","",13.153,w291605401
TERTIAIRE,Route tertiaire,"","",13.106,w314329219
TERTIAIRE,Route tertiaire,"","",12.950,w247166976
TERTIAIRE,Route tertiaire,"","",12.914,w327590127
TERTIAIRE,Route tertiaire,"","",12.665,w213157840
TERTIAIRE,Route tertiaire,"","",12.506,w268773402
TERTIAIRE,Route tertiaire,"","",12.444,w304026274
TERTIAIRE,Route tertiaire,"","",12.284,w409891775
SECONDAIRE,Route secondaire,"","",12.224,w270873981
TERTIAIRE,Route tertiaire,"","",12.171,w828032150
TERTIAIRE,Route tertiaire,"",C existant,12.031,w1069554732
TERTIAIRE,Route tertiaire,"","",11.952,w304943848
TERTIAIRE,Route tertiaire,"","",11.904,w271251264
TERTIAIRE,Route tertiaire,"","",11.894,w247171626
TERTIAIRE,Route tertiaire,"","",11.866,w330992863
TERTIAIRE,Route tertiaire,"","",11.837,w756557839
PRINCIPALE,Route primaire,"","",11.836,w678370597
TERTIAIRE,Route tertiaire,"","",11.751,w535392391
TERTIAIRE,Route tertiaire,"","",11.731,w312350579
TERTIAIRE,Route tertiaire,"","",11.725,w302387936
VOIE_RAPIDE,Voie rapide,"","",11.720,w290578015
TERTIAIRE,Route tertiaire,"","",11.585,w270900277
TERTIAIRE,Route tertiaire,"","",11.528,w301450997
TERTIAIRE,Route tertiaire,"","",11.514,w223060215
TERTIAIRE,Route tertiaire,"","",11.485,w262535645
TERTIAIRE,Route tertiaire,"","",11.466,w327712987
TERTIAIRE,Route tertiaire,"","",11.417,w269031020
TERTIAIRE,Route tertiaire,"","",11.405,w705947786
SECONDAIRE,Route secondaire,"","",11.356,w238360407
SECONDAIRE,Route secondaire,"","",11.216,w246573420
TERTIAIRE,Route tertiaire,"","",11.118,w907064707
SECONDAIRE,Route secondaire,"","",11.100,w497034166
TERTIAIRE,Route tertiaire,"","",11.041,w302026358
TERTIAIRE,Route tertiaire,"","",11.013,w305779813
TERTIAIRE,Route tertiaire,"","",10.791,w304938545
TERTIAIRE,Route tertiaire,"","",10.778,w302550873
TERTIAIRE,Route tertiaire,"","",10.728,w305042065
TERTIAIRE,Route tertiaire,"","",10.712,w331271108
TERTIAIRE,Route tertiaire,"","",10.700,w373067758
TERTIAIRE,Route tertiaire,"","",10.598,w1025456104
TERTIAIRE,Route tertiaire,"","",10.580,w790577735
TERTIAIRE,Route tertiaire,"",route de fadaköba,10.478,w542055051
TERTIAIRE,Route tertiaire,"","",10.412,w313018135
SECONDAIRE,Route secondaire,"","",10.368,w581401771
TERTIAIRE,Route tertiaire,"","",10.358,w304942056
TERTIAIRE,Route tertiaire,"","",10.273,w559892842
TERTIAIRE,Route tertiaire,"","",10.269,w304026277
TERTIAIRE,Route tertiaire,"","",10.198,w301719525
TERTIAIRE,Route tertiaire,"","",10.176,w398580882
TERTIAIRE,Route tertiaire,"","",10.164,w301282878
TERTIAIRE,Route tertiaire,"","",10.160,w287252137
TERTIAIRE,Route tertiaire,"","",10.048,w333477453
SECONDAIRE,Route secondaire,"","",9.999,w269963214
PRINCIPALE,Route primaire,"",A1,9.998,w868427779
TERTIAIRE,Route tertiaire,"","",9.961,w270900230
SECONDAIRE,Route secondaire,"","",9.861,w292979015
TERTIAIRE,Route tertiaire,"","",9.767,w273389160
TERTIAIRE,Route tertiaire,"",Sangaredi - Aye Koye,9.740,w569982411
TERTIAIRE,Route tertiaire,"","",9.689,w296968732
TERTIAIRE,Route tertiaire,"","",9.683,w304029840
TERTIAIRE,Route tertiaire,"","",9.670,w325590387
TERTIAIRE,Route tertiaire,"","",9.615,w274387055
SECONDAIRE,Route secondaire,"","",9.611,w480651830
TERTIAIRE,Route tertiaire,"","",9.598,w268705334
TERTIAIRE,Route tertiaire,"","",9.552,w912780896
PRINCIPALE,Route primaire,"",A1,9.485,w327607691
TERTIAIRE,Route tertiaire,"","",9.462,w213157794
TERTIAIRE,Route tertiaire,RN25,"",9.431,w246264395
TERTIAIRE,Route tertiaire,"","",9.428,w253759114
TERTIAIRE,Route tertiaire,"","",9.368,w331520026
TERTIAIRE,Route tertiaire,"","",9.351,w305114501
TERTIAIRE,Route tertiaire,"","",9.318,w253860388
TERTIAIRE,Route tertiaire,"","",9.248,w207823895
TERTIAIRE,Route tertiaire,"","",9.212,w304641641
TERTIAIRE,Route tertiaire,"","",9.071,w330562181
TERTIAIRE,Route tertiaire,"","",9.056,w313507912
TERTIAIRE,Route tertiaire,"","",9.011,w271185256
TERTIAIRE,Route tertiaire,"","",8.994,w268806300
TERTIAIRE,Route tertiaire,"","",8.921,w311501448
TERTIAIRE,Route tertiaire,"","",8.910,w331083800
TERTIAIRE,Route tertiaire,"","",8.863,w253759123
TERTIAIRE,Route tertiaire,"","",8.851,w301158760
SECONDAIRE,Route secondaire,"","",8.842,w272452818
TERTIAIRE,Route tertiaire,"","",8.829,w302561321
TERTIAIRE,Route tertiaire,"","",8.818,w271586605
SECONDAIRE,Route secondaire,"","",8.794,w270369418
TERTIAIRE,Route tertiaire,"","",8.778,w302321294
SECONDAIRE,Route secondaire,"","",8.775,w679473263
TERTIAIRE,Route tertiaire,"","",8.756,w1067713198
TERTIAIRE,Route tertiaire,"","",8.691,w269442360
TERTIAIRE,Route tertiaire,"","",8.649,w301886416
SECONDAIRE,Route secondaire,"","",8.649,w641727483
TERTIAIRE,Route tertiaire,"","",8.631,w330972069
TERTIAIRE,Route tertiaire,"","",8.626,w269442348
TERTIAIRE,Route tertiaire,"","",8.605,w305114503
TERTIAIRE,Route tertiaire,"","",8.566,w304938429
TERTIAIRE,Route tertiaire,"","",8.512,w270360382
TERTIAIRE,Route tertiaire,"","",8.460,w408977997
TERTIAIRE,Route tertiaire,"","",8.454,w327550761
TERTIAIRE,Route tertiaire,"","",8.411,w304790651
TERTIAIRE,Route tertiaire,"","",8.358,w311150607
TERTIAIRE,Route tertiaire,"","",8.311,w269940439
TERTIAIRE,Route tertiaire,"","",8.286,w303094768
TERTIAIRE,Route tertiaire,"","",8.259,w246573891
TERTIAIRE,Route tertiaire,"","",8.212,w247175329
TERTIAIRE,Route tertiaire,"","",8.180,w328441184
TERTIAIRE,Route tertiaire,"","",8.179,w329036280
TERTIAIRE,Route tertiaire,"","",8.160,w329742943
TERTIAIRE,Route tertiaire,"","",8.155,w273389158
TERTIAIRE,Route tertiaire,"","",8.138,w272205830
SECONDAIRE,Route secondaire,"","",8.119,w246573422
TERTIAIRE,Route tertiaire,"","",8.027,w207829591
SECONDAIRE,Route secondaire,"","",7.966,w271115782
TERTIAIRE,Route tertiaire,"","",7.954,w435287305
TERTIAIRE,Route tertiaire,"","",7.952,w38896090
TERTIAIRE,Route tertiaire,"","",7.945,w271738871
TERTIAIRE,Route tertiaire,"","",7.918,w686852302
TERTIAIRE,Route tertiaire,"","",7.872,w660483910
TERTIAIRE,Route tertiaire,"","",7.853,w273760194
TERTIAIRE,Route tertiaire,"","",7.846,w328025082
TERTIAIRE,Route tertiaire,"","",7.819,w302549041
TERTIAIRE,Route tertiaire,"","",7.778,w301282901
TERTIAIRE,Route tertiaire,"","",7.731,w688272024
TERTIAIRE,Route tertiaire,"","",7.725,w273339626
TERTIAIRE,Route tertiaire,"","",7.704,w269674629
SECONDAIRE,Route secondaire,"","",7.644,w497034164
TERTIAIRE,Route tertiaire,"","",7.586,w296994368
TERTIAIRE,Route tertiaire,"","",7.493,w398759881
TERTIAIRE,Route tertiaire,"","",7.491,w302561329
TERTIAIRE,Route tertiaire,"","",7.443,w331089429
TERTIAIRE,Route tertiaire,"","",7.435,w328649912
TERTIAIRE,Route tertiaire,"","",7.379,w271662437
TERTIAIRE,Route tertiaire,"","",7.318,w296968734
TERTIAIRE,Route tertiaire,"","",7.313,w274151625
TERTIAIRE,Route tertiaire,"","",7.312,w300380671
TERTIAIRE,Route tertiaire,"","",7.272,w296968744
TERTIAIRE,Route tertiaire,"","",7.232,w338342621
TERTIAIRE,Route tertiaire,"","",7.191,w246573424
TERTIAIRE,Route tertiaire,"","",7.186,w238478701
TERTIAIRE,Route tertiaire,"","",7.138,w296994366
TERTIAIRE,Route tertiaire,"","",7.122,w675123558
TERTIAIRE,Route tertiaire,"","",7.091,w300610990
SECONDAIRE,Route secondaire,"","",7.091,w307909914
PRINCIPALE,Route primaire,"","",6.992,w685847309
PRINCIPALE,Route primaire,"",A1,6.973,w327591818
PRINCIPALE,Route primaire,"",Ganta - Sanniquellie,6.937,w306164045
TERTIAIRE,Route tertiaire,"","",6.936,w270368422
TERTIAIRE,Route tertiaire,"","",6.932,w329359143
SECONDAIRE,Route secondaire,"","",6.873,w247166947
TERTIAIRE,Route tertiaire,"","",6.839,w269472727
TERTIAIRE,Route tertiaire,"","",6.762,w304025052
TERTIAIRE,Route tertiaire,"","",6.700,w238478702
TERTIAIRE,Route tertiaire,"","",6.694,w270799456
TERTIAIRE,Route tertiaire,"","",6.691,w797056760
SECONDAIRE,Route secondaire,"","",6.683,w689667374
TERTIAIRE,Route tertiaire,"","",6.656,w302321295
TERTIAIRE,Route tertiaire,"","",6.645,w510331464
SECONDAIRE,Route secondaire,"","",6.632,w273088038
TERTIAIRE,Route tertiaire,"","",6.542,w270425523
TERTIAIRE,Route tertiaire,"","",6.538,w296969628
TERTIAIRE,Route tertiaire,"","",6.530,w300352077
TERTIAIRE,Route tertiaire,"","",6.517,w272663314
TERTIAIRE,Route tertiaire,"","",6.494,w304937440
TERTIAIRE,Route tertiaire,"","",6.472,w306179305
TERTIAIRE,Route tertiaire,"","",6.458,w207825676
TERTIAIRE,Route tertiaire,"","",6.452,w674978187
TERTIAIRE,Route tertiaire,"","",6.447,w270705901
TERTIAIRE,Route tertiaire,"","",6.403,w325590400
