couche;champ;type;longueur;renseignes;taux_pct;valeurs_distinctes
ROUTE;ID;texte;80;262656;100.0;>2000
ROUTE;NATURE;texte;80;262656;100.0;21
ROUTE;NUMERO;texte;80;1453;0.6;60
ROUTE;NOM;texte;80;1046;0.4;610
ROUTE;CL_ADMIN;texte;80;262656;100.0;1
ROUTE;GESTION;texte;80;0;0.0;0
ROUTE;FRANCHISST;texte;80;3178;1.2;3
ROUTE;LARGEUR;texte;80;489;0.2;19
ROUTE;NB_VOIES;texte;80;714;0.3;4
ROUTE;VIT_MAX;texte;80;225;0.1;11
ROUTE;HAUT_MAX;texte;80;17;0.0;2
ROUTE;POID_MAX;texte;80;0;0.0;0
ROUTE;SENS;texte;80;909;0.3;2
ROUTE;SOURCE;texte;80;262656;100.0;1
ROUTE;DATE_MAJ;texte;80;262656;100.0;>2000
CHEMIN;ID;texte;80;171570;100.0;>2000
CHEMIN;NATURE;texte;80;171570;100.0;4
CHEMIN;SOURCE;texte;80;171570;100.0;1
CHEMIN;DATE_MAJ;texte;80;171570;100.0;>2000
SURFACE_ROUTE;ID;texte;80;3;100.0;3
SURFACE_ROUTE;NATURE;texte;80;3;100.0;1
SURFACE_ROUTE;SOURCE;texte;80;3;100.0;1
SURFACE_ROUTE;DATE_MAJ;texte;80;3;100.0;1
TOPONYME_COMMUNICATION;ID;texte;80;30;100.0;30
TOPONYME_COMMUNICATION;NOM;texte;80;30;100.0;24
TOPONYME_COMMUNICATION;NATURE;texte;80;30;100.0;4
TOPONYME_COMMUNICATION;SOURCE;texte;80;30;100.0;1
TOPONYME_COMMUNICATION;DATE_MAJ;texte;80;30;100.0;22
