Route tertiaire	NC	90.535	Kindia	0.011	0.125	OUTSIDE_BDRI_SCOPE
Route primaire	NC	81.384	Kindia	0.997	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	69.505	Boké	1.000	1.000	LIKELY_DUPLICATE
Route primaire	A7	66.837	Nzérékoré	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	65.263	Labé	0.953	0.964	LIKELY_DUPLICATE
Voie rapide	NC	62.804	Boké	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	58.741	Labé	0.000	0.000	POTENTIAL_BDRI_MISSING
Voie rapide	N1	57.377	Kankan	0.688	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	56.758	Labé	0.012	0.103	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	55.158	Kankan	0.001	0.008	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	54.641	Labé	1.000	1.000	LIKELY_DUPLICATE
Voie rapide	NC	54.586	Boké	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	53.463	Kankan	0.057	0.522	LIKELY_DUPLICATE
Route tertiaire	NC	51.583	Labé	0.018	0.204	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	51.335	Labé	0.018	0.290	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	50.709	Boké	1.000	1.000	LIKELY_DUPLICATE
Route secondaire	NC	50.340	Kankan	0.976	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	49.571	Boké	0.015	0.236	OUTSIDE_BDRI_SCOPE
Route primaire	N32	49.296	Kankan	0.490	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	48.566	Boké	0.900	1.000	LIKELY_DUPLICATE
Route primaire	NC	48.294	Boké	0.985	1.000	LIKELY_DUPLICATE
Route secondaire	NC	48.130	Nzérékoré	0.065	0.484	UNDETERMINED
Route tertiaire	NC	46.344	Nzérékoré	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	45.178	Labé	0.629	0.794	LIKELY_DUPLICATE
Route secondaire	NC	43.279	Faranah	0.000	0.000	POTENTIAL_BDRI_MISSING
Route secondaire	NC	42.630	Faranah	0.009	0.081	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	42.359	Kindia	0.071	0.473	OUTSIDE_BDRI_SCOPE
Voie rapide	N1	41.966	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	41.118	Kindia	0.010	0.170	OUTSIDE_BDRI_SCOPE
Route primaire	NC	40.661	Boké	0.961	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	39.090	Kindia	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	37.314	Nzérékoré	0.000	0.000	POTENTIAL_BDRI_MISSING
Voie rapide	N6	37.242	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route secondaire	NC	36.342	Labé	0.956	1.000	LIKELY_DUPLICATE
Voie rapide	N2	36.081	Mamou	1.000	1.000	LIKELY_DUPLICATE
Route primaire	N18	35.481	Nzérékoré	0.911	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	34.295	Kindia	0.976	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	34.283	Kankan	0.062	0.443	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	33.983	Kankan	0.000	0.000	POTENTIAL_BDRI_MISSING
Route primaire	N24	33.914	Kindia	0.987	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	33.861	Kindia	0.000	0.003	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	33.768	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	33.706	Kindia	0.052	0.424	OUTSIDE_BDRI_SCOPE
Voie rapide	NC	33.266	Boké	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	33.211	Boké	0.034	0.246	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	33.021	Boké	0.978	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	33.020	Kindia	0.001	0.012	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	32.932	Nzérékoré	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	N22	32.749	Mamou	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	32.707	Boké	0.016	0.104	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	32.686	Labé	0.088	0.618	LIKELY_DUPLICATE
Route primaire	NC	32.475	Kindia	0.978	1.000	LIKELY_DUPLICATE
Voie rapide	N2	32.183	Faranah	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	31.950	Kindia	0.029	0.231	OUTSIDE_BDRI_SCOPE
Route secondaire	NC	31.937	Kankan	0.001	0.045	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	31.867	Kankan	0.021	0.226	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	31.777	Mamou	0.014	0.204	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	31.634	Boké	0.046	0.191	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	31.468	Boké	0.029	0.178	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	31.429	Faranah	0.001	0.026	POTENTIAL_BDRI_MISSING
Route primaire	N29	31.317	Faranah	0.986	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	30.919	Kankan	0.002	0.020	POTENTIAL_BDRI_MISSING
Route secondaire	NC	30.789	Kankan	0.000	0.000	POTENTIAL_BDRI_MISSING
Route primaire	N18	30.783	Nzérékoré	0.989	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	30.367	Kindia	0.024	0.062	POTENTIAL_BDRI_MISSING
